"route_short_name","route_color","route_text_color"
"10B","#ffdc00","#FFFFFF"
"13B","#ffdc00","#FFFFFF"
"17B","#ffdc00","#FFFFFF"
"19B","#ffdc00","#FFFFFF"
"22B","#ffdc00","#FFFFFF"
"26B","#ffdc00","#FFFFFF"
"29B","#ffdc00","#FFFFFF"
"31B","#ffdc00","#FFFFFF"
"32B","#ffdc00","#FFFFFF"
"34B","#ffdc00","#FFFFFF"
"37B","#ffdc00","#FFFFFF"
"40B","#ffdc00","#FFFFFF"
"41B","#ffdc00","#FFFFFF"
"45B","#ffdc00","#FFFFFF"
"46B","#ffdc00","#FFFFFF"
"49B","#ffdc00","#FFFFFF"
"52B","#ffdc00","#FFFFFF"
"55B","#ffdc00","#FFFFFF"
"58B","#ffdc00","#FFFFFF"
"61B","#ffdc00","#FFFFFF"
"64B","#ffdc00","#FFFFFF"
"65B","#ffdc00","#FFFFFF"
"67B","#ffdc00","#FFFFFF"
"71B","#ffdc00","#FFFFFF"
"72B","#ffdc00","#FFFFFF"
"73B","#ffdc00","#FFFFFF"
"76B","#ffdc00","#FFFFFF"
"79B","#ffdc00","#FFFFFF"
"717","#2fb61e","#FFFFFF"
"798","#2fb61e","#FFFFFF"
"735","#2fb61e","#FFFFFF"
"736","#2fb61e","#FFFFFF"
"747","#2fb61e","#FFFFFF"
"778","#2fb61e","#FFFFFF"
"796","#2fb61e","#FFFFFF"
"798""","#2fb61e","#FFFFFF"
"705","#ed1c24","#FFFFFF"
"708","#ed1c24","#FFFFFF"
"718","#ed1c24","#FFFFFF"
"722","#ed1c24","#FFFFFF"
"725","#ed1c24","#FFFFFF"
"731","#ed1c24","#FFFFFF"
"744","#ed1c24","#FFFFFF"
"749","#ed1c24","#FFFFFF"
"755","#ed1c24","#FFFFFF"
"759","#ed1c24","#FFFFFF"
"781","#ed1c24","#FFFFFF"
"782","#ed1c24","#FFFFFF"
"783","#ed1c24","#FFFFFF"
"793","#ed1c24","#FFFFFF"
"794","#ed1c24","#FFFFFF"
"15E","#ec008c","#FFFFFF"
"18E","#ec008c","#FFFFFF"
"714","#ec008c","#FFFFFF"
"723","#ec008c","#FFFFFF"
"732","#ec008c","#FFFFFF"
"748","#ec008c","#FFFFFF"
"751","#ec008c","#FFFFFF"
"760","#ec008c","#FFFFFF"
"776","#ec008c","#FFFFFF"
"711","#00aeef","#FFFFFF"
"716","#00aeef","#FFFFFF"
"724","#00aeef","#FFFFFF"
"726","#00aeef","#FFFFFF"
"729","#00aeef","#FFFFFF"
"746","#00aeef","#FFFFFF"
"754","#00aeef","#FFFFFF"
"758","#00aeef","#FFFFFF"
"763","#00aeef","#FFFFFF"
"764","#00aeef","#FFFFFF"
"765","#00aeef","#FFFFFF"
"768","#00aeef","#FFFFFF"
"770","#00aeef","#FFFFFF"
"771","#00aeef","#FFFFFF"
"799","#00aeef","#FFFFFF"
"12E","#f7941e","#FFFFFF"
"24E","#f7941e","#FFFFFF"
"25E","#f7941e","#FFFFFF"
"28E","#f7941e","#FFFFFF"
"51E","#f7941e","#FFFFFF"
"52E","#f7941e","#FFFFFF"
"53E","#f7941e","#FFFFFF"
"54E","#f7941e","#FFFFFF"
"702","#f7941e","#FFFFFF"
"706","#f7941e","#FFFFFF"
"709","#f7941e","#FFFFFF"
"712","#f7941e","#FFFFFF"
"713","#f7941e","#FFFFFF"
"730","#f7941e","#FFFFFF"
"734","#f7941e","#FFFFFF"
"737","#f7941e","#FFFFFF"
"773","#f7941e","#FFFFFF"
"774","#f7941e","#FFFFFF"
"797","#f7941e","#FFFFFF"
"701","#8c8c99","#FFFFFF"
"703","#8c8c99","#FFFFFF"
"720","#8c8c99","#FFFFFF"
"727","#8c8c99","#FFFFFF"
"728","#8c8c99","#FFFFFF"
"738","#8c8c99","#FFFFFF"
"742","#8c8c99","#FFFFFF"
"750","#8c8c99","#FFFFFF"
"753","#8c8c99","#FFFFFF"
"756","#8c8c99","#FFFFFF"
"767","#8c8c99","#FFFFFF"
"201","#091b7d","#FFFFFF"
"202","#091b7d","#FFFFFF"
"203","#091b7d","#FFFFFF"
"206","#091b7d","#FFFFFF"
"207","#091b7d","#FFFFFF"
"208","#091b7d","#FFFFFF"
"210","#091b7d","#FFFFFF"
